,name,actor_id,gender,character,actor_popularity,movie_id
88,Zendaya,505710.0,1.0,Michelle 'MJ' Jones,35.712,634649
89,Benedict Cumberbatch,71580.0,2.0,Stephen Strange / Doctor Strange,19.006,634649
90,Jon Favreau,15277.0,2.0,Harold 'Happy' Hogan,10.248,634649
91,Marisa Tomei,3141.0,1.0,May Parker,10.199,634649
92,Alfred Molina,658.0,2.0,Otto Octavius / Doctor Octopus,16.048,634649
93,Jamie Foxx,134.0,2.0,Max Dillon / Electro,12.673,634649
94,Willem Dafoe,5293.0,2.0,Norman Osborn / Green Goblin,16.354,634649
95,Angourie Rice,1265629.0,1.0,Betty Brant,13.564,634649
96,J.K. Simmons,18999.0,2.0,J. Jonah Jameson,13.065,634649
97,Benedict Wong,30082.0,2.0,Wong,23.568,634649
98,Dwayne Johnson,18918.0,2.0,Frank Wolff,47.55,451048
99,Emily Blunt,5081.0,1.0,Dr. Lily Houghton,17.256,451048
100,Jack Whitehall,212285.0,2.0,McGregor Houghton,13.429,451048
101,Jesse Plemons,88124.0,2.0,Prince Joachim,16.794,451048
102,Paul Giamatti,13242.0,2.0,Nilo,10.01,451048
103,Guy Pearce,529.0,2.0,David Carmichael,15.512,675319
104,Matilda Anna Ingrid Lutz,1464589.0,1.0,Jane,11.065,675319
105,James Marsden,11006.0,2.0,Tim Templeton (voice),10.0,459151
106,Lisa Kudrow,14406.0,1.0,Janice Templeton (voice),16.668,459151
107,Margot Robbie,234352.0,1.0,Harleen Quinzel / Harley Quinn,18.585,436969
108,Idris Elba,17605.0,2.0,Robert DuBois / Bloodsport,18.216,436969
109,Joel Kinnaman,92404.0,2.0,Rick Flag,11.471,436969
110,Sylvester Stallone,16483.0,2.0,Nanaue / King Shark (voice),18.294,436969
111,Daniela Melchior,1784612.0,1.0,Cleo Cazo / Ratcatcher 2,13.193,436969
112,Michael Rooker,12132.0,2.0,Brian Durlin / Savant,13.141,436969
113,Alice Braga,8602.0,1.0,Sol Soria,11.481,436969
114,Taika Waititi,55934.0,2.0,Ratcatcher 1,14.483,436969
115,Michael Keaton,2232.0,2.0,Michael Rembrandt,12.502,645788
116,Samuel L. Jackson,2231.0,2.0,Moody,22.912,645788
117,Robert Patrick,418.0,2.0,Billy Boy,19.718,645788
118,Vin Diesel,12835.0,2.0,Dominic Toretto,25.5,385128
119,Michelle Rodriguez,17647.0,1.0,Letty Ortiz,10.334,385128
120,Tyrese Gibson,8169.0,2.0,Roman Pearce,10.361,385128
121,Nathalie Emmanuel,1251069.0,1.0,Ramsey,18.715,385128
122,Michael Rooker,12132.0,2.0,Buddy,13.141,385128
