,name,actor_id,gender,character,actor_popularity,movie_id
379,Tom Felton,10993.0,2.0,Draco Malfoy,11.973,767
380,Helena Bonham Carter,1283.0,1.0,Bellatrix Lestrange,10.619,767
381,Hero Fiennes Tiffin,1114487.0,2.0,Tom Riddle (11 Years),10.69,767
382,Ralph Fiennes,5469.0,2.0,Lord Voldemort,11.938,767
383,Jeremy Irons,16940.0,2.0,Humbert Humbert,12.074,9769
384,Vin Diesel,12835.0,2.0,Dominic Toretto,25.5,385687
385,Michelle Rodriguez,17647.0,1.0,Letty Ortiz,10.334,385687
386,Jason Statham,976.0,2.0,Deckard Shaw,31.426,385687
387,Tyrese Gibson,8169.0,2.0,Roman Pearce,10.361,385687
388,Charlize Theron,6885.0,1.0,Cipher,16.724,385687
389,Nathalie Emmanuel,1251069.0,1.0,Ramsey,18.715,385687
390,Helen Mirren,15735.0,1.0,Queenie Shaw,10.027,385687
391,Kate Beckinsale,3967.0,1.0,Lindy,14.757,617502
392,Stanley Tucci,2283.0,2.0,Dr. Ivan Munchin,12.146,617502
393,Robert Downey Jr.,3223.0,2.0,Tony Stark / Iron Man,22.489,24428
394,Chris Evans,16828.0,2.0,Steve Rogers / Captain America,12.794,24428
395,Chris Hemsworth,74568.0,2.0,Thor Odinson,17.1,24428
396,Scarlett Johansson,1245.0,1.0,Natasha Romanoff / Black Widow,35.485,24428
397,Jeremy Renner,17604.0,2.0,Clint Barton / Hawkeye,14.855,24428
398,Tom Hiddleston,91606.0,2.0,Loki,20.814,24428
399,Samuel L. Jackson,2231.0,2.0,Nick Fury,22.912,24428
400,Stellan Skarsgård,1640.0,2.0,Erik Selvig,11.848,24428
401,Ashley Johnson,34486.0,1.0,Waitress,15.227,24428
402,Sofia Carson,1331457.0,1.0,Evie (voice),10.855,805411
403,Daniel Radcliffe,10980.0,2.0,Harry Potter,13.689,675
404,Emma Watson,10990.0,1.0,Hermione Granger,23.219,675
405,Ralph Fiennes,5469.0,2.0,Lord Voldemort,11.938,675
406,Tom Felton,10993.0,2.0,Draco Malfoy,11.973,675
407,Helena Bonham Carter,1283.0,1.0,Bellatrix Lestrange,10.619,675
408,Gary Oldman,64.0,2.0,Sirius Black,13.152,675
409,Emma Thompson,7056.0,1.0,Sybil Trelawney,11.817,675
410,Pierce Brosnan,517.0,2.0,Richard Pace,17.159,581644
411,Tim Roth,3129.0,2.0,Schultz,15.532,581644
412,Hermione Corfield,1345419.0,1.0,Hope,17.909,581644
413,Annabelle Wallis,82809.0,1.0,Madison Mitchell / Emily May,19.209,619778
414,Mckenna Grace,1172108.0,1.0,Young Madison Mitchell / Emily May,14.148,619778
415,Andy Samberg,62861.0,2.0,Johnny Loughran (voice),19.31,585083
416,Selena Gomez,77948.0,1.0,Mavis Dracula (voice),11.156,585083
417,Steve Buscemi,884.0,2.0,Wayne (voice),13.495,585083
418,Isabela Merced,1428070.0,1.0,Lucky Prescott (voice),13.311,637693
419,Jake Gyllenhaal,131.0,2.0,Jim Prescott (voice),16.706,637693
420,Julianne Moore,1231.0,1.0,Aunt Cora (voice),13.574,637693
421,Mckenna Grace,1172108.0,1.0,Abigail Stone (voice),14.148,637693
422,Park Byung-eun,564844.0,2.0,,16.849,586047
423,Zoe Saldana,8691.0,1.0,Rosa (voice),17.706,449406
424,Michael Rooker,12132.0,2.0,Lutador (voice),13.141,449406
425,Jennifer Carpenter,53828.0,1.0,Sonya Blade (voice),18.15,841755
426,Matthew Lillard,26457.0,2.0,Shaggy (voice),16.735,841755
427,Keanu Reeves,6384.0,2.0,Sage,17.836,400160
428,Clancy Brown,6574.0,2.0,Mr. Krabs (voice),24.133,400160
429,Awkwafina,1625558.0,1.0,Otto (voice),41.972,400160
430,Anne Hathaway,1813.0,1.0,Grand High Witch,19.047,531219
431,Stanley Tucci,2283.0,2.0,Mr Stringer,12.146,531219
432,Tara Strong,15762.0,1.0,Raven (voice),10.319,834404
433,Bill Murray,1532.0,2.0,(footage),10.589,834404
434,Will Smith,2888.0,2.0,John Hancock,16.86,8960
435,Charlize Theron,6885.0,1.0,Mary Embrey,16.724,8960
436,Kim Si-a,2115785.0,1.0,Sun-ok,13.937,581387
437,Finn Wolfhard,1442069.0,2.0,Trevor,13.309,425909
438,Mckenna Grace,1172108.0,1.0,Phoebe,14.148,425909
439,Paul Rudd,22226.0,2.0,Mr. Grooberson,25.702,425909
440,Sigourney Weaver,10205.0,1.0,Dana Barrett,11.443,425909
441,Bill Murray,1532.0,2.0,Dr. Peter Venkman,10.589,425909
442,Jackie Chan,18897.0,2.0,Tang Huanting,21.409,604822
443,Rose Byrne,9827.0,1.0,Bea,15.137,522478
444,Domhnall Gleeson,93210.0,2.0,Mr. Thomas McGregor,12.739,522478
445,Margot Robbie,234352.0,1.0,Flopsy (voice),18.585,522478
446,Elizabeth Debicki,1133349.0,1.0,Mopsy (voice),11.948,522478
447,Hayley Atwell,39459.0,1.0,Mittens (voice),10.996,522478
448,Sam Neill,4783.0,2.0,Tommy Brock (voice),14.847,522478
449,Emily VanCamp,84247.0,1.0,Kate,10.802,25769
450,Jason Statham,976.0,2.0,Chev Chelios,31.426,15092
451,Amy Smart,20189.0,1.0,Eve,13.61,15092
452,Bai Ling,39126.0,1.0,Ria,10.332,15092
453,Monique Alexander,135586.0,1.0,Female Porn Star,20.845,15092
454,Sarah Bolger,33397.0,1.0,Bea,13.111,680319
455,Benedict Cumberbatch,71580.0,2.0,Greville Wynne,19.006,522241
456,Rie Takahashi,1492982.0,1.0,Megumin (voice),11.024,532067
