movie_id,actor_popularity
566525,6.738894736842106
580489,4.363037735849053
370172,4.164381818181815
524434,5.096702702702702
744275,4.204666666666665
438631,5.641282051282052
550988,4.259362318840589
1930,4.388092592592592
335983,3.1833103448275852
568620,4.1930000000000005
102382,3.915126760563382
635302,4.5255
459151,3.209439999999998
574060,4.1996206896551715
576845,2.8692830188679226
429617,2.050546583850938
508943,2.6515000000000004
451048,5.546848484848482
385128,4.856520833333332
610253,3.4639999999999986
436969,5.1996046511627885
497698,2.2914687499999964
315635,4.170291139240512
559,2.0126212121212115
379686,3.164432432432432
425909,4.924763157894735
337404,3.674967741935484
557,2.3870219780219766
460465,2.42315625
529203,8.739235294117648
637649,2.796645833333331
299536,8.234384615384615
399566,2.378787234042551
791373,3.446916666666673
631843,4.582259259259258
525660,2.8208750000000005
19995,3.3736756756756754
527774,8.30758823529412
324857,2.9536399999999974
464052,1.69826351351351
13811,2.835434782608696
482373,2.3089166666666663
671,2.9939649122807013
423108,2.641281249999999
354912,1.3694823529411748
602223,2.0991951219512184
317442,2.8098235294117644
632357,1.3185277777777786
672,2.6967123287671213
299534,7.100766990291266
674,3.2349444444444426
458576,3.02621052631579
520763,3.2044615384615365
24428,2.9582410714285783
12444,3.4115200000000003
634528,3.207150000000001
587807,2.4876842105263144
12445,3.1712897196261722
673,3.5230689655172407
644495,2.6161666666666648
767,4.0139999999999985
619778,3.8856764705882343
8960,2.6026444444444436
505262,2.217403846153845
508442,2.6905483870967735
637693,4.42457894736842
522478,4.752749999999999
324786,2.9742181818181788
675,3.1759512195121946
303857,3.7656666666666667
565028,1.4314000000000007
400160,6.898649999999999
72545,11.495923076923077
15092,2.0505729166666646
