name,director_id,gender,director_popularity,movie_id
Everardo Gout,1192942.0,0.0,1.417,602223
Lee Unkrich,8.0,2.0,0.937,354912
Tate Taylor,55789.0,2.0,1.12,539885
Adam Randall,1667260.0,2.0,1.528,669671
Chris Columbus,10965.0,2.0,1.964,672
Patty Jenkins,6884.0,1.0,1.879,464052
Douglas Attal,1025684.0,0.0,0.607,641501
Keishi Ōtomo,1084905.0,2.0,1.4,672322
Andrew Traucki,81328.0,2.0,0.6,522444
Rodolfo Riva Palacio Alatriste,80739.0,2.0,0.6,573164
Gabriel Riva Palacio Alatriste,80740.0,2.0,0.6,573164
Mike Newell,10723.0,2.0,1.579,674
Luke Armstrong,1652349.0,0.0,0.6,725273
Tsuneo Kobayashi,2320943.0,0.0,0.6,317442
Paul W. S. Anderson,4014.0,2.0,3.377,458576
Peter Berg,36602.0,2.0,5.345,8960
David Silverman,197.0,2.0,13.158,846214
Anthony Russo,19271.0,2.0,4.608,299534
Joe Russo,19272.0,2.0,4.762,299534
Evan Spiliotopoulos,80675.0,2.0,5.445,632357
Amelia Moses,2656874.0,1.0,0.98,741636
Joss Whedon,12891.0,2.0,4.152,24428
Jared Cohn,583932.0,2.0,1.536,861057
Hiroyuki Yamashita,1483924.0,2.0,2.391,347201
Alfonso Cuarón,11218.0,2.0,2.12,673
Jenny Gage,1586194.0,1.0,0.98,537915
José Luis Ucha,1116780.0,0.0,0.6,597316
Mark Fattibene,1554996.0,0.0,0.6,597316
Robert Cullen,1905014.0,0.0,0.6,597316
Julian Gaviria,3126020.0,0.0,0.6,840756
Rebecca Hall,15556.0,1.0,15.676,541524
Tim Story,20400.0,2.0,1.22,587807
David Charhon,78226.0,0.0,1.4,729720
Oleg Trofim,1754017.0,0.0,0.6,529106
Tim Hill,49903.0,2.0,2.717,400160
David Yates,11343.0,2.0,3.147,12444
Pete Docter,12890.0,2.0,2.287,508442
Cedric Nicolas-Troyan,1454884.0,2.0,4.872,597891
John Krasinski,17697.0,2.0,6.72,520763
David Yates,11343.0,2.0,3.147,767
David Yates,11343.0,2.0,3.147,675
David Yates,11343.0,2.0,3.147,12445
Joaquim Dos Santos,89596.0,2.0,1.052,569094
Justin K. Thompson,1046497.0,2.0,0.84,569094
Kemp Powers,2451598.0,2.0,0.6,569094
Renny Harlin,16938.0,2.0,2.167,581644
Marco Tullio Giordana,70235.0,0.0,0.652,747688
Tadayoshi Yamamuro,1083452.0,0.0,0.98,303857
Elaine Bogan,1400404.0,1.0,0.6,637693
Kenji Nagasaki,1307036.0,2.0,3.186,505262
Isaac Florentine,78108.0,2.0,1.591,38234
Masahiro Takata,566672.0,2.0,1.094,719088
Robert Zemeckis,24.0,2.0,3.147,531219
Will Gluck,82511.0,2.0,1.989,522478
Brian Taylor,20192.0,2.0,1.767,15092
Mark Neveldine,20193.0,2.0,1.23,15092
Tanya Wexler,264113.0,1.0,1.38,617502
Kirk DeMicco,71267.0,2.0,0.694,449406
Peter Rida Michail,1903167.0,2.0,1.214,834404
Ryan White,1156075.0,2.0,0.98,653740
Justin Lin,58189.0,2.0,7.489,385687
James Wan,2127.0,2.0,5.701,619778
Terry Klassen,129373.0,0.0,0.728,375211
Carl Upsdell,1268579.0,0.0,0.6,375211
Wes Ball,1179066.0,2.0,1.668,198663
Àlex Pastor,94220.0,2.0,0.6,25769
David Pastor,94222.0,2.0,1.048,25769
David Yarovesky,1362815.0,2.0,1.4,739990
Derek Drymon,70652.0,2.0,0.729,585083
Jennifer Kluska,2093022.0,1.0,1.011,585083
Josh Ruben,1448874.0,2.0,0.6,800497
David Slade,27571.0,2.0,2.199,24021
Takaomi Kanasaki,1281402.0,0.0,1.718,532067
Ethan Spaulding,204553.0,2.0,4.229,841755
Dominic Cooke,1539858.0,2.0,1.22,522241
Sarah Smith,208113.0,1.0,0.98,482321
Jean-Philippe Vine,1454692.0,0.0,0.98,482321
Stanley Tong,44916.0,2.0,1.4,604822
Ferdinando Cito Filomarino,1318471.0,2.0,0.6,597433
Jacinth Tan Yi Ting,3250942.0,0.0,0.6,878962
Kyohei Ishiguro,1685889.0,2.0,2.328,839100
Chris Appelhans,1453550.0,2.0,0.764,550205
Ilya Naishuller,1169024.0,2.0,1.132,615457
Sam Raimi,7623.0,2.0,3.627,558
Scott Pleydell-Pearce,3158582.0,0.0,0.6,850818
Ken Cunningham,2741073.0,0.0,0.6,857702
Raúl Martínez,1703328.0,0.0,0.6,678580
Niki Caro,15287.0,1.0,2.086,337401
Kenji Nagasaki,1307036.0,2.0,3.186,768744
Mel Gibson,2461.0,2.0,15.967,324786
Dave Needham,2136790.0,0.0,0.6,410113
Kim Ji-hoon,583166.0,2.0,2.06,623135
Sean Bichimer,2925149.0,0.0,0.6,874209
Dan Abraham,1381895.0,0.0,0.6,741074
Trent Correy,1994928.0,2.0,0.6,741074
