movie_id,title,genre_ids,release_date,movie_popularity,vote_average,vote_count,budget,revenue,rating
12444,Harry Potter and the Deathly Hallows: Part 1,"[12, 14]",2010-10-17,209.89,7.8,15282,250000000,954305868,PG-13
634528,The Marksman,"[28, 53, 80]",2021-01-15,208.447,7.1,988,23000000,22039969,PG-13
673,Harry Potter and the Prisoner of Azkaban,"[12, 14]",2004-05-31,208.418,8.0,17040,130000000,789804554,PG
12445,Harry Potter and the Deathly Hallows: Part 2,"[14, 12]",2011-07-07,205.515,8.1,16479,125000000,1341511219,PG-13
400160,The SpongeBob Movie: Sponge on the Run,"[10751, 16, 14, 12, 35]",2020-08-14,203.438,7.7,2357,60000000,4700000,PG
508442,Soul,"[16, 35, 14, 10751]",2020-12-25,202.025,8.2,7269,150000000,136384442,PG
767,Harry Potter and the Half-Blood Prince,"[12, 14]",2009-07-07,197.65,7.7,15356,250000000,933959197,PG
8960,Hancock,"[14, 28]",2008-07-01,197.363,6.3,7722,150000000,629443428,PG-13
520763,A Quiet Place Part II,"[878, 53, 27]",2021-05-21,196.431,7.7,3387,61000000,297372261,PG-13
675,Harry Potter and the Order of the Phoenix,"[12, 14, 9648]",2007-06-28,192.619,7.7,15594,150000000,938212738,PG-13
354912,Coco,"[10751, 16, 14, 10402, 35, 12]",2017-10-27,189.233,8.2,14903,175000000,800526015,PG
10138,Iron Man 2,"[12, 28, 878]",2010-04-28,188.438,6.8,17020,200000000,623933331,PG-13
8871,How the Grinch Stole Christmas,"[10751, 35, 14]",2000-11-17,186.392,6.7,5579,123000000,345141403,PG
303857,Dragon Ball Z: Resurrection 'F',"[28, 16, 878]",2015-04-18,185.382,6.8,1255,5000000,61768190,NR
637693,Spirit Untamed,"[16, 12, 10751, 37]",2021-05-20,183.236,7.7,302,30000000,17635215,PG
615457,Nobody,"[28, 80, 53]",2021-03-18,181.602,8.3,3705,17000000,61779301,R
198663,The Maze Runner,"[28, 9648, 878, 53]",2014-09-10,179.189,7.2,14049,34000000,348319861,PG-13
619778,Malignant,"[27, 9648, 53]",2021-09-01,175.538,7.0,1066,40000000,24640084,R
24021,The Twilight Saga: Eclipse,"[12, 14, 18, 10749]",2010-06-23,174.602,6.2,7193,68000000,698491347,PG-13
360920,The Grinch,"[16, 10751, 35, 14]",2018-11-08,173.813,6.8,2726,75000000,508575295,PG
106646,The Wolf of Wall Street,"[80, 18, 35]",2013-12-25,173.8,8.0,18717,100000000,392000000,R
99861,Avengers: Age of Ultron,"[28, 12, 878]",2015-04-22,170.089,7.3,18864,365000000,1405403694,PG-13
324786,Hacksaw Ridge,"[18, 36, 10752]",2016-10-07,168.794,8.2,10226,40000000,175302354,R
293660,Deadpool,"[28, 12, 35]",2016-02-09,167.444,7.6,25841,58000000,783100000,R
522478,Peter Rabbit 2: The Runaway,"[10751, 35, 12, 16, 14]",2021-03-25,165.181,7.4,451,45000000,153000000,PG
558,Spider-Man 2,"[28, 12, 14]",2004-06-25,165.042,7.1,11651,200000000,783766341,PG-13
15092,Crank: High Voltage,"[28, 53, 80]",2009-04-16,164.463,6.0,2136,20000000,34560577,R
22832,Ninja Assassin,[28],2009-09-29,161.772,6.5,1060,40000000,60462347,R
10195,Thor,"[12, 14, 28]",2011-04-21,157.059,6.8,17360,150000000,449326618,PG-13
22894,Legion,"[27, 28, 14]",2010-01-21,156.072,5.8,1947,26000000,67918658,R
