studio_id,studio_name,origin_country,movie_id
3172.0,Blumhouse Productions,US,602223
2481.0,Platinum Dunes,US,602223
33.0,Universal Pictures,US,602223
10338.0,Perfect World Pictures,CN,602223
138783.0,Man in A Tree,US,602223
3.0,Pixar,US,354912
2.0,Walt Disney Pictures,US,354912
9993.0,DC Entertainment,US,464052
174.0,Warner Bros. Pictures,US,464052
114152.0,The Stone Quarry,US,464052
128064.0,DC Films,US,464052
507.0,Atlas Entertainment,US,464052
429.0,DC Comics,US,464052
174.0,Warner Bros. Pictures,US,619778
12.0,New Line Cinema,US,619778
5233.0,Starlight International Media,,619778
121439.0,Midas Innovation,,619778
76907.0,Atomic Monster,US,619778
122178.0,BOOM! Studios,US,619778
4.0,Paramount,US,520763
2481.0,Platinum Dunes,US,520763
29312.0,Sunday Night,US,520763
160175.0,Buffalo FilmWorks,,520763
41756.0,GH Three,US,8960
5.0,Columbia Pictures,US,8960
7295.0,Relativity Media,US,8960
28064.0,Blue Light,US,8960
433.0,Weed Road Pictures,US,8960
675.0,Forward Pass,US,8960
907.0,Overbrook Entertainment,US,8960
34.0,Sony Pictures,US,8960
420.0,Marvel Studios,US,299534
768.0,Ghost House Pictures,US,632357
3287.0,Screen Gems,US,632357
34.0,Sony Pictures,US,632357
6951.0,Chapman/Leonard Studio Equipment,,632357
174.0,Warner Bros. Pictures,US,672
437.0,Heyday Films,GB,672
436.0,1492 Pictures,US,672
80292.0,Sculptor Media,US,634528
5357.0,Zero Gravity Management,US,634528
94694.0,Cutting Edge Group,US,634528
145546.0,Raven Capital Management,US,634528
145547.0,Stonehouse Motion Pictures,US,634528
6626.0,Voltage Pictures,US,634528
10427.0,Open Road Films,US,634528
137972.0,Briarcliff Entertainment,US,634528
2883.0,Aniplex,JP,317442
420.0,Marvel Studios,US,24428
7220.0,CAPCOM,JP,458576
47.0,Constantin Film,DE,458576
248.0,Impact Pictures,CA,458576
81620.0,Tencent Pictures,CN,458576
882.0,Toho Co.,JP,458576
3287.0,Screen Gems,US,458576
34.0,Sony Pictures,US,458576
25120.0,Warner Animation Group,US,587807
8922.0,Turner Entertainment,US,587807
77061.0,The Story Company,,587807
174.0,Warner Bros. Pictures,US,674
437.0,Heyday Films,GB,674
462.0,Patalex IV Productions Limited,,674
2.0,Walt Disney Pictures,US,508442
3.0,Pixar,US,508442
8921.0,United Plankton Pictures,US,400160
2348.0,Nickelodeon Movies,US,400160
24955.0,Paramount Animation,US,400160
4.0,Paramount,US,400160
2531.0,MRC,US,400160
8649.0,Mikros Image,FR,400160
174.0,Warner Bros. Pictures,US,767
437.0,Heyday Films,GB,767
2849.0,BONES,JP,505262
11727.0,Yomiuri Telecasting Corporation,JP,505262
2918.0,Shueisha,JP,505262
6755.0,Nippon Television Network Corporation,JP,505262
1778.0,DENTSU,JP,505262
648.0,Sony Music Entertainment (Japan),JP,505262
3466.0,Movic,JP,505262
882.0,Toho Co.,JP,505262
155588.0,Toho Music,JP,505262
33.0,Universal Pictures,US,637693
521.0,DreamWorks Animation,US,637693
174.0,Warner Bros. Pictures,US,673
436.0,1492 Pictures,US,673
437.0,Heyday Films,GB,673
1632.0,Lionsgate,US,15092
126.0,Lakeshore Entertainment,US,15092
89394.0,RadicalMedia,US,15092
5.0,Columbia Pictures,US,522478
7291.0,Olive Bridge Entertainment,US,522478
34.0,Sony Pictures,US,522478
174.0,Warner Bros. Pictures,US,675
437.0,Heyday Films,GB,675
174.0,Warner Bros. Pictures,US,12445
437.0,Heyday Films,GB,12445
50481.0,Vendian Entertainment,US,324786
491.0,Summit Entertainment,US,324786
10246.0,Cross Creek Pictures,US,324786
7437.0,IM Global,US,324786
7584.0,Screen Australia,AU,324786
10951.0,Screen NSW,AU,324786
455.0,Permut Presentations,US,324786
8915.0,Pandemonium,,324786
13241.0,Demarest Films,,324786
1632.0,Lionsgate,US,324786
7485.0,Fox International Productions,US,303857
5542.0,Toei Animation,JP,303857
104652.0,Fizz Sound Creation,JP,303857
19551.0,Marvel Enterprises,US,558
34.0,Sony Pictures,US,558
5.0,Columbia Pictures,US,558
326.0,Laura Ziskin Productions,,558
7505.0,Marvel Entertainment,US,558
174.0,Warner Bros. Pictures,US,12444
437.0,Heyday Films,GB,12444
83857.0,Ubisoft Film & Television,FR,800497
46453.0,Vanishing Angle,US,800497
307.0,IFC Films,US,800497
33.0,Universal Pictures,US,615457
121470.0,87North Productions,US,615457
86647.0,Odenkirk Provissiero Entertainment,US,615457
123230.0,Eighty Two Films,US,615457
154091.0,Perfect World Pictures,,615457
25.0,20th Century Fox,US,293660
7505.0,Marvel Entertainment,US,293660
431.0,The Donners' Company,US,293660
22213.0,TSG Entertainment,US,293660
28788.0,Genre Films,US,293660
290.0,Ingenious Media,GB,198663
3672.0,Gotham Group,US,198663
8569.0,Dayday Films,GB,198663
12292.0,Temple Hill Entertainment,US,198663
22213.0,TSG Entertainment,US,198663
25.0,20th Century Fox,US,198663
420.0,Marvel Studios,US,271110
420.0,Marvel Studios,US,10138
