,id,name,origin_country,movie_id
155,139921.0,Arthur Sarkissian Productions,US,645788
156,48738.0,Campbell Grobman Films,US,645788
157,1632.0,Lionsgate,US,645788
158,127928.0,20th Century Studios,US,654974
159,91797.0,Hutch Parker Entertainment,US,654974
160,98438.0,74 Entertainment,,760747
161,81562.0,Creativ Studios,,820511
162,112580.0,High Fliers Films,,820511
163,6125.0,Walt Disney Animation Studios,US,568124
164,2.0,Walt Disney Pictures,US,568124
165,155744.0,Jagged Edge Productions,,839436
166,75997.0,Porta dos Fundos,BR,879163
167,3696.0,Lemon Films,MX,772436
168,7570.0,Videocine,,772436
169,19551.0,Marvel Enterprises,US,557
170,5.0,Columbia Pictures,US,557
171,34.0,Sony Pictures,US,557
172,326.0,Laura Ziskin Productions,,557
173,7505.0,Marvel Entertainment,US,557
174,25120.0,Warner Animation Group,US,379686
175,81170.0,SpringHill Entertainment,US,379686
176,148495.0,Proximity Media,US,379686
177,76907.0,Atomic Monster,US,460465
178,8000.0,Broken Road Productions,US,460465
179,12.0,New Line Cinema,US,460465
180,2.0,Walt Disney Pictures,US,337404
181,5.0,Columbia Pictures,US,559
182,326.0,Laura Ziskin Productions,,559
183,420.0,Marvel Studios,US,559
184,106786.0,RainMaker Films,US,760195
185,75355.0,Yale Productions,US,760195
186,150178.0,The Machine Room,,760195
187,150179.0,Post Film,,760195
188,10427.0,Open Road Films,US,760195
189,137972.0,Briarcliff Entertainment,US,760195
190,160885.0,北京宝庆影业传媒有限公司,,859041
191,7505.0,Marvel Entertainment,US,102382
192,5.0,Columbia Pictures,US,102382
193,31828.0,Avi Arad Productions,US,102382
194,53462.0,Matt Tolmach Productions,US,102382
195,34.0,Sony Pictures,US,102382
196,2785.0,Warner Bros. Animation,US,831405
197,9993.0,DC Entertainment,US,831405
198,174.0,Warner Bros. Pictures,US,791373
199,114152.0,The Stone Quarry,US,791373
200,507.0,Atlas Entertainment,US,791373
201,9993.0,DC Entertainment,US,791373
202,103376.0,Access Entertainment,US,791373
203,444.0,Dune Entertainment,US,791373
204,128064.0,DC Films,US,791373
205,429.0,DC Comics,US,791373
206,79650.0,Zagtoon,,726684
207,35136.0,Method Animation,,726684
208,79175.0,SAMG Animation,KR,726684
209,109744.0,Norman Studio Works,,726684
210,135745.0,The Walt Disney Company France,FR,726684
211,22123.0,TF1,FR,726684
212,118295.0,Gloob,BR,726684
213,20498.0,Télé-Québec,CA,726684
214,53422.0,Fantawild Animation,CN,726684
215,138896.0,Mediawan,,726684
216,82819.0,Skydance Media,US,588228
217,423.0,Phantom Four,US,588228
218,125000.0,Lit Entertainment Group,US,588228
219,435.0,Di Bonaventura Pictures,US,581726
220,8537.0,Closest to the Hole Productions,US,581726
221,119509.0,Leverage Entertainment,US,581726
222,14.0,Miramax,US,637649
223,21.0,Metro-Goldwyn-Mayer,US,637649
224,2900.0,Toff Guy Films,GB,637649
225,1632.0,Lionsgate,US,637649
226,141391.0,CAA Media Finance,US,637649
227,136343.0,Shifty Eye Productions,,777620
228,145848.0,Panic House Films,,777620
229,15268.0,BKM Film,TR,874948
230,68628.0,308 Enterprises,CA,681887
231,121204.0,BondIt Media Capital,US,681887
232,41735.0,Buffalo 8,US,681887
233,25140.0,The Exchange,US,681887
234,174.0,Warner Bros. Pictures,US,524369
235,7429.0,HBO Films,US,524369
236,12.0,New Line Cinema,US,524369
237,129036.0,Chase Films,US,524369
238,694.0,StudioCanal,FR,637534
239,83.0,France 2 Cinéma,FR,637534
240,34780.0,Chi-Fou-Mi Productions,FR,637534
241,3475.0,Disney Television Animation,US,864388
242,110799.0,AGC Studios,US,774021
243,95724.0,Oats Studios,CA,774021
244,158181.0,Stabiliti Studios,,774021
245,70784.0,IFC Midnight,US,774021
246,163344.0,The Long Game,,864873
247,3153.0,SUNRISE,JP,685274
248,192.0,Shochiku,JP,685274
249,156668.0,HMV Digital China Group Limited,,525660
250,156669.0,Tecmo,,525660
251,20542.0,Sun Entertainment Culture,,525660
252,55902.0,Sun Entertainment Culture,,525660
253,164625.0,Guangdong Sublime Media,,525660
254,164626.0,Beijing Lajin Film,,525660
255,164627.0,Khorgas New Splendid Entertainment,,525660
256,164628.0,Er Dong Pictures (Beijing) Company,,525660
